Time(s),Input,Output_Displacement
10.8,0.004,6.085
10.9,0.001,6.015
11,0.018,5.940
11.1,0.053,5.864
11.2,0.107,5.788
11.3,0.179,5.712
11.4,0.267,5.639
11.5,0.369,5.570
11.6,0.483,5.505
11.7,0.608,5.447
11.8,0.740,5.397
11.9,0.877,5.354
12,1.017,5.321
12.1,1.156,5.297
12.2,1.292,5.283
12.3,1.423,5.280
12.4,1.545,5.287
12.5,1.657,5.305
12.6,1.756,5.332
12.7,1.840,5.369
12.8,1.907,5.414
12.9,1.957,5.468
13,1.988,5.527
13.1,2.000,5.593
13.2,1.992,5.663
13.3,1.965,5.735
13.4,1.919,5.809
13.5,1.855,5.884
13.6,1.774,5.956
13.7,1.678,6.026
13.8,1.569,6.092
13.9,1.448,6.152
14,1.319,6.206
14.1,1.184,6.252
14.2,1.045,6.290
14.3,0.905,6.318
14.4,0.767,6.336
14.5,0.634,6.344
14.6,0.507,6.342
14.7,0.391,6.330
14.8,0.286,6.307
14.9,0.195,6.275
15,0.120,6.234
15.1,0.063,6.185
15.2,0.023,6.129
15.3,0.003,6.066
15.4,0.002,5.999
15.5,0.021,5.928
15.6,0.059,5.855
15.7,0.115,5.781
15.8,0.189,5.708
15.9,0.278,5.637
16,0.382,5.570
16.1,0.498,5.508
16.2,0.623,5.451
16.3,0.756,5.402
16.4,0.894,5.361
16.5,1.034,5.329
16.6,1.173,5.307
16.7,1.309,5.294
16.8,1.438,5.292
16.9,1.559,5.300
17,1.670,5.318
17.1,1.767,5.346
17.2,1.849,5.384
17.3,1.914,5.429
17.4,1.962,5.483
17.5,1.991,5.543
17.6,2.000,5.608
17.7,1.990,5.678
17.8,1.960,5.750
17.9,1.912,5.823
18,1.846,5.897
18.1,1.763,5.969
18.2,1.665,6.038
18.3,1.555,6.102
18.4,1.433,6.161
18.5,1.303,6.214
18.6,1.167,6.259
18.7,1.028,6.295
18.8,0.888,6.321
18.9,0.751,6.338
19,0.618,6.345
19.1,0.493,6.341
19.2,0.377,6.327
19.3,0.274,6.303
19.4,0.185,6.270
19.5,0.112,6.228
19.6,0.057,6.178
19.7,0.020,6.121
19.8,0.002,6.057
19.9,0.003,5.990
20,0.024,5.918
20.1,0.065,5.845
20.2,0.123,5.771
20.3,0.199,5.699
20.4,0.290,5.628
20.5,0.395,5.561
20.6,0.512,5.500
20.7,0.639,5.444
20.8,0.772,5.396
20.9,0.911,5.356
21,1.050,5.325
21.1,1.189,5.304
21.2,1.324,5.293
21.3,1.453,5.292
21.4,1.573,5.301
21.5,1.682,5.321
21.6,1.777,5.350
21.7,1.858,5.388
21.8,1.921,5.435
21.9,1.966,5.489
22,1.993,5.550
22.1,2.000,5.616
22.2,1.987,5.686
22.3,1.955,5.758
22.4,1.905,5.832
22.5,1.837,5.906
22.6000000000001,1.752,5.977
22.7000000000001,1.653,6.046
22.8000000000001,1.541,6.110
22.9000000000001,1.418,6.168
23.0000000000001,1.287,6.220
23.1000000000001,1.151,6.263
23.2000000000001,1.011,6.298
23.3000000000001,0.872,6.324
23.4000000000001,0.734,6.340
23.5000000000001,0.602,6.345
23.6000000000001,0.478,6.340
23.7000000000001,0.364,6.325
23.8000000000001,0.263,6.300
23.9000000000001,0.176,6.266
24.0000000000001,0.105,6.222
24.1000000000001,0.051,6.171
24.2000000000001,0.017,6.113
24.3000000000001,0.001,6.049
24.4000000000001,0.005,5.981
24.5000000000001,0.028,5.910
24.6000000000001,0.071,5.836
24.7000000000001,0.131,5.763
24.8000000000001,0.209,5.690
24.9000000000001,0.302,5.620
25.0000000000001,0.409,5.554
25.1000000000001,0.527,5.493
25.2000000000001,0.655,5.438
25.3000000000001,0.789,5.391
25.4000000000001,0.927,5.352
25.5000000000001,1.067,5.322
25.6000000000001,1.206,5.302
25.7000000000001,1.340,5.292
25.8000000000001,1.468,5.292
25.9000000000001,1.587,5.303
26.0000000000001,1.694,5.324
26.1000000000001,1.788,5.354
26.2000000000001,1.866,5.394
26.3000000000001,1.927,5.441
26.4000000000001,1.970,5.496
26.5000000000001,1.995,5.558
26.6000000000001,1.999,5.624
26.7000000000001,1.984,5.695
26.8000000000001,1.950,5.767
26.9000000000001,1.898,5.841
27.0000000000001,1.827,5.914
27.1000000000001,1.741,5.986
27.2000000000001,1.640,6.054
27.3000000000001,1.526,6.117
27.4000000000001,1.403,6.175
27.5000000000001,1.271,6.225
27.6000000000001,1.134,6.268
27.7000000000001,0.994,6.302
27.8000000000001,0.855,6.326
27.9000000000001,0.718,6.341
28.0000000000001,0.587,6.345
28.1000000000001,0.464,6.339
28.2000000000001,0.351,6.323
28.3000000000001,0.252,6.296
28.4000000000001,0.166,6.261
28.5000000000001,0.097,6.217
28.6000000000001,0.046,6.165
28.7000000000001,0.014,6.106
28.8000000000001,0.000,6.041
28.9000000000001,0.007,5.973
29.0000000000001,0.032,5.901
29.1000000000001,0.077,5.827
29.2000000000001,0.140,5.754
29.3000000000001,0.219,5.681
29.4000000000001,0.314,5.612
29.5000000000001,0.422,5.546
29.6000000000002,0.542,5.486
29.7000000000002,0.670,5.432
29.8000000000002,0.805,5.386
29.9000000000002,0.944,5.348
30.0000000000002,1.084,5.319
30.1000000000002,1.222,5.300
30.2000000000002,1.356,5.292
30.3000000000002,1.483,5.293
30.4000000000002,1.600,5.305
30.5000000000002,1.706,5.327
30.6000000000002,1.798,5.358
30.7000000000002,1.874,5.399
30.8000000000002,1.934,5.448
30.9000000000002,1.974,5.503
31.0000000000002,1.996,5.566
31.1000000000002,1.999,5.633
31.2000000000002,1.981,5.703
31.3000000000002,1.945,5.776
31.4000000000002,1.890,5.850
31.5000000000002,1.818,5.923
31.6000000000002,1.729,5.994
31.7000000000002,1.627,6.062
31.8000000000002,1.512,6.124
31.9000000000002,1.387,6.181
32.0000000000002,1.255,6.231
32.1000000000002,1.117,6.273
32.2000000000002,0.978,6.305
32.3000000000002,0.838,6.329
32.4000000000002,0.702,6.342
32.5000000000002,0.572,6.345
32.6000000000002,0.450,6.337
32.7000000000002,0.339,6.320
32.8000000000002,0.241,6.293
32.9000000000002,0.157,6.256
33.0000000000002,0.090,6.211
33.1000000000002,0.041,6.158
33.2000000000002,0.011,6.098
33.3000000000002,0.000,6.033
33.4000000000002,0.009,5.964
33.5000000000002,0.037,5.892
33.6000000000002,0.084,5.819
33.7000000000002,0.148,5.745
33.8000000000002,0.230,5.673
33.9000000000002,0.326,5.604
34.0000000000002,0.436,5.539
34.1000000000002,0.557,5.479
34.2000000000002,0.686,5.426
34.3000000000002,0.822,5.381
34.4000000000002,0.961,5.344
34.5000000000002,1.101,5.316
34.6000000000002,1.239,5.299
34.7000000000002,1.372,5.291
34.8000000000002,1.498,5.294
34.9000000000002,1.614,5.307
35.0000000000002,1.718,5.330
35.1000000000002,1.808,5.363
35.2000000000002,1.882,5.404
35.3000000000002,1.939,5.454
35.4000000000002,1.978,5.511
35.5000000000002,1.998,5.573
35.6000000000002,1.998,5.641
35.7000000000002,1.978,5.712
35.8000000000002,1.939,5.785
35.9000000000002,1.882,5.859
36.0000000000002,1.808,5.932
36.1000000000002,1.718,6.002
36.2000000000002,1.614,6.069
36.3000000000002,1.497,6.132
36.4000000000002,1.372,6.188
36.5000000000002,1.238,6.236
36.6000000000003,1.101,6.277
36.7000000000003,0.961,6.309
36.8000000000003,0.822,6.331
36.9000000000003,0.686,6.343
37.0000000000003,0.557,6.344
37.1000000000003,0.436,6.336
37.2000000000003,0.326,6.317
37.3000000000003,0.230,6.289
37.4000000000003,0.148,6.251
37.5000000000003,0.083,6.205
37.6000000000003,0.037,6.151
37.7000000000003,0.009,6.091
37.8000000000003,0.000,6.025
37.9000000000003,0.011,5.956
38.0000000000003,0.041,5.883
38.1000000000003,0.090,5.810
38.2000000000003,0.157,5.736
38.3000000000003,0.241,5.664
38.4000000000003,0.339,5.596
38.5000000000003,0.450,5.531
38.6000000000003,0.572,5.472
38.7000000000003,0.702,5.420
38.8000000000003,0.838,5.376
38.9000000000003,0.978,5.340
39.0000000000003,1.117,5.314
39.1000000000003,1.255,5.297
39.2000000000003,1.387,5.291
39.3000000000003,1.512,5.295
39.4000000000003,1.627,5.309
39.5000000000003,1.730,5.334
39.6000000000003,1.818,5.367
39.7000000000003,1.890,5.410
39.8000000000003,1.945,5.460
39.9000000000003,1.981,5.518
40.0000000000003,1.999,5.581
40.1000000000003,1.996,5.649
40.2000000000003,1.974,5.721
40.3000000000003,1.933,5.794
40.4000000000003,1.874,5.868
40.5000000000003,1.798,5.940
40.6000000000003,1.706,6.011
40.7000000000003,1.600,6.077
40.8000000000003,1.483,6.139
40.9000000000003,1.356,6.194
41.0000000000003,1.222,6.242
41.1000000000003,1.084,6.281
41.2000000000003,0.944,6.312
41.3000000000003,0.805,6.333
