Time(s),Input,Output_Displacement
11.3,0.557,6.239
11.4,0.428,6.236
11.5,0.312,6.223
11.6,0.211,6.201
11.7,0.128,6.169
11.8,0.065,6.130
11.9,0.022,6.082
12,0.002,6.028
12.1,0.004,5.968
12.2,0.028,5.904
12.3,0.074,5.838
12.4,0.141,5.770
12.5,0.227,5.702
12.6,0.331,5.636
12.7,0.449,5.573
12.8,0.580,5.515
12.9,0.721,5.464
13,0.867,5.419
13.1,1.017,5.383
13.2,1.166,5.356
13.3,1.312,5.338
13.4,1.450,5.332
13.5,1.578,5.335
13.6,1.694,5.349
13.7,1.794,5.373
13.8,1.876,5.407
13.9,1.938,5.450
14,1.979,5.501
14.1,1.999,5.558
14.2,1.995,5.622
14.3,1.970,5.690
14.4,1.923,5.760
14.5,1.855,5.832
14.6,1.767,5.903
14.7,1.663,5.973
14.8,1.544,6.039
14.9,1.412,6.100
15,1.271,6.155
15.1,1.124,6.202
15.2,0.975,6.240
15.3,0.826,6.270
15.4,0.680,6.289
15.5,0.542,6.297
15.6,0.415,6.295
15.7,0.300,6.282
15.8,0.201,6.259
15.9,0.120,6.226
16,0.059,6.184
16.1,0.019,6.134
16.2,0.001,6.077
16.3,0.005,6.014
16.4,0.032,5.946
16.5,0.081,5.876
16.6,0.150,5.805
16.7,0.238,5.734
16.8,0.343,5.664
16.9,0.463,5.599
17,0.596,5.538
17.1,0.737,5.484
17.2,0.884,5.437
17.3,1.034,5.398
17.4,1.183,5.370
17.5,1.327,5.351
17.6,1.465,5.343
17.7,1.592,5.345
17.8,1.706,5.358
17.9,1.804,5.381
18,1.884,5.415
18.1,1.944,5.457
18.2,1.983,5.507
18.3,1.999,5.565
18.4,1.994,5.628
18.5,1.966,5.695
18.6,1.916,5.765
18.7,1.846,5.836
18.8,1.757,5.907
18.9,1.650,5.976
19,1.529,6.041
19.1,1.397,6.101
19.2,1.255,6.155
19.3,1.108,6.202
19.4,0.958,6.239
19.5,0.809,6.268
19.6,0.665,6.286
19.7,0.528,6.293
19.8,0.401,6.290
19.9,0.288,6.277
20,0.191,6.253
20.1,0.112,6.219
20.2,0.054,6.176
20.3,0.016,6.125
20.4,0.000,6.068
20.5,0.007,6.004
20.6,0.037,5.937
20.7,0.087,5.867
20.8,0.159,5.795
20.9,0.249,5.725
21,0.356,5.656
21.1,0.478,5.591
21.2,0.611,5.531
21.3,0.753,5.478
21.4,0.901,5.432
21.5,1.050,5.395
21.6,1.199,5.367
21.7,1.343,5.349
21.8,1.480,5.342
21.9,1.606,5.346
22,1.718,5.360
22.1,1.814,5.385
22.2,1.891,5.419
22.3,1.949,5.462
22.4,1.986,5.514
22.5,2.000,5.572
22.6000000000001,1.992,5.635
