Time(s),Input,Output_Displacement
8.39999999999999,0.125,5.951
8.49999999999999,0.271,5.908
8.59999999999999,0.463,5.861
8.69999999999999,0.689,5.812
8.79999999999998,0.934,5.765
8.89999999999998,1.183,5.721
8.99999999999998,1.420,5.684
9.09999999999998,1.632,5.656
9.19999999999998,1.804,5.638
9.29999999999998,1.926,5.631
9.39999999999998,1.991,5.636
9.49999999999998,1.994,5.653
9.59999999999998,1.935,5.680
9.69999999999998,1.818,5.715
9.79999999999998,1.650,5.757
9.89999999999998,1.442,5.802
9.99999999999998,1.206,5.848
10.1,0.958,5.892
10.2,0.712,5.931
10.3,0.484,5.963
10.4,0.288,5.986
10.5,0.137,5.998
10.6,0.039,5.998
10.7,0.000,5.987
10.8,0.024,5.965
10.9,0.109,5.934
11,0.249,5.896
11.1,0.436,5.852
11.2,0.658,5.806
11.3,0.901,5.761
11.4,1.150,5.719
11.5,1.390,5.683
11.6,1.606,5.655
11.7,1.784,5.637
11.8,1.913,5.630
11.9,1.986,5.635
12,1.997,5.652
12.1,1.946,5.678
12.2,1.837,5.713
12.3,1.675,5.755
12.4,1.472,5.800
12.5,1.239,5.847
12.6,0.991,5.891
12.7,0.744,5.932
12.8,0.513,5.965
12.9,0.312,5.989
13,0.154,6.002
13.1,0.048,6.004
13.2,0.002,5.994
13.3,0.018,5.974
13.4,0.094,5.943
13.5,0.228,5.905
13.6,0.409,5.862
13.7,0.627,5.816
13.8,0.868,5.770
13.9,1.117,5.727
14,1.359,5.690
14.1,1.579,5.660
14.2,1.763,5.641
14.3,1.899,5.633
14.4,1.979,5.636
14.5,1.999,5.650
14.6,1.956,5.675
14.7,1.854,5.709
14.8,1.699,5.750
14.9,1.501,5.795
15,1.271,5.841
15.1,1.024,5.886
15.2,0.776,5.927
15.3,0.542,5.961
15.4,0.336,5.986
15.5,0.172,6.001
15.6,0.059,6.004
15.7,0.005,5.996
15.8,0.012,5.976
15.9,0.081,5.947
16,0.207,5.910
