Time(s),Input,Output_Displacement
5.7,0.117,6.056
5.8,0.227,5.978
5.9,0.369,5.899
5.99999999999999,0.535,5.822
6.09999999999999,0.721,5.749
6.19999999999999,0.917,5.682
6.29999999999999,1.117,5.624
6.39999999999999,1.312,5.574
6.49999999999999,1.494,5.536
6.59999999999999,1.657,5.510
6.69999999999999,1.794,5.497
6.79999999999999,1.899,5.497
6.89999999999999,1.968,5.509
6.99999999999999,1.999,5.533
7.09999999999999,1.989,5.567
7.19999999999999,1.941,5.611
7.29999999999999,1.855,5.661
7.39999999999999,1.734,5.717
7.49999999999999,1.585,5.775
7.59999999999999,1.412,5.833
7.69999999999999,1.223,5.889
7.79999999999999,1.025,5.941
7.89999999999999,0.826,5.987
7.99999999999999,0.634,6.024
8.09999999999999,0.456,6.052
8.19999999999999,0.300,6.069
8.29999999999999,0.172,6.075
8.39999999999999,0.077,6.069
8.49999999999999,0.019,6.052
8.59999999999999,0.000,6.025
8.69999999999999,0.021,5.989
8.79999999999998,0.081,5.945
8.89999999999998,0.177,5.895
8.99999999999998,0.306,5.841
9.09999999999998,0.463,5.786
9.19999999999998,0.642,5.731
9.29999999999998,0.834,5.680
9.39999999999998,1.034,5.633
9.49999999999998,1.232,5.594
9.59999999999998,1.420,5.563
9.69999999999998,1.592,5.542
9.79999999999998,1.740,5.532
9.89999999999998,1.859,5.533
9.99999999999998,1.944,5.546
10.1,1.991,5.569
10.2,1.998,5.602
10.3,1.966,5.644
10.4,1.895,5.693
10.5,1.788,5.747
10.6,1.650,5.804
10.7,1.486,5.861
10.8,1.303,5.917
10.9,1.108,5.969
11,0.908,6.015
11.1,0.712,6.053
11.2,0.528,6.082
11.3,0.362,6.101
11.4,0.222,6.108
11.5,0.112,6.104
11.6,0.039,6.089
11.7,0.003,6.063
11.8,0.007,6.027
11.9,0.051,5.983
12,0.133,5.933
12.1,0.249,5.878
12.2,0.395,5.821
12.3,0.565,5.763
12.4,0.753,5.708
12.5,0.950,5.658
12.6,1.150,5.613
12.7,1.343,5.577
12.8,1.523,5.551
12.9,1.682,5.535
13,1.814,5.531
13.1,1.913,5.538
13.2,1.976,5.556
13.3,2.000,5.585
13.4,1.984,5.623
13.5,1.929,5.668
13.6,1.837,5.720
13.7,1.711,5.776
13.8,1.557,5.833
13.9,1.381,5.890
14,1.190,5.944
14.1,0.991,5.992
14.2,0.793,6.034
14.3,0.602,6.068
14.4,0.428,6.091
14.5,0.277,6.103
14.6,0.154,6.104
14.7,0.065,6.094
14.8,0.013,6.072
14.9,0.001,6.041
15,0.028,6.000
15.1,0.094,5.953
15.2,0.197,5.899
15.3,0.331,5.843
15.4,0.492,5.786
15.5,0.673,5.730
15.6,0.868,5.677
15.7,1.067,5.630
15.8,1.264,5.591
15.9,1.450,5.560
16,1.619,5.540
16.1,1.763,5.531
16.2,1.876,5.533
16.3,1.954,5.547
16.4,1.995,5.572
16.5,1.995,5.606
16.6,1.956,5.649
16.7,1.879,5.698
16.8,1.767,5.753
16.9,1.624,5.810
17,1.457,5.867
17.1,1.271,5.922
17.2,1.074,5.973
17.3,0.875,6.018
17.4,0.680,6.055
17.5,0.498,6.083
17.6,0.336,6.100
17.7,0.201,6.105
17.8,0.097,6.100
17.9,0.030,6.083
18,0.001,6.055
18.1,0.012,6.018
18.2,0.062,5.973
18.3,0.150,5.922
18.4,0.272,5.867
18.5,0.422,5.810
18.6,0.596,5.753
18.7,0.786,5.699
18.8,0.984,5.649
18.9,1.183,5.606
19,1.375,5.572
19.1,1.551,5.547
19.2,1.706,5.533
19.3,1.833,5.531
19.4,1.926,5.540
19.5,1.983,5.560
19.6,2.000,5.591
19.7,1.977,5.630
19.8,1.916,5.677
19.9,1.818,5.730
20,1.687,5.786
20.1,1.529,5.843
20.2,1.350,5.899
20.3,1.157,5.953
20.4,0.958,6.000
20.5,0.760,6.041
20.6,0.572,6.072
20.7,0.401,6.094
20.8,0.254,6.104
20.9,0.136,6.103
21,0.053,6.091
21.1,0.008,6.068
21.2,0.003,6.035
21.3,0.037,5.993
21.4,0.109,5.944
21.5,0.217,5.890
21.6,0.356,5.834
21.7,0.521,5.776
21.8,0.705,5.721
21.9,0.901,5.669
22,1.101,5.623
22.1,1.296,5.585
22.2,1.480,5.556
22.3,1.645,5.538
22.4,1.784,5.531
22.5,1.892,5.535
22.6000000000001,1.964,5.551
22.7000000000001,1.998,5.577
22.8000000000001,1.992,5.613
22.9000000000001,1.946,5.657
23.0000000000001,1.863,5.707
23.1000000000001,1.745,5.762
23.2000000000001,1.598,5.819
23.3000000000001,1.427,5.876
23.4000000000001,1.238,5.931
23.5000000000001,1.041,5.981
23.6000000000001,0.841,6.025
23.7000000000001,0.648,6.060
23.8000000000001,0.469,6.086
23.9000000000001,0.312,6.101
24.0000000000001,0.181,6.105
24.1000000000001,0.083,6.098
24.2000000000001,0.022,6.079
24.3000000000001,0.000,6.050
24.4000000000001,0.018,6.011
24.5000000000001,0.075,5.965
24.6000000000001,0.168,5.913
24.7000000000001,0.295,5.857
24.8000000000001,0.450,5.800
24.9000000000001,0.627,5.743
25.0000000000001,0.819,5.690
25.1000000000001,1.018,5.641
25.2000000000001,1.216,5.600
25.3000000000001,1.406,5.567
25.4000000000001,1.579,5.544
25.5000000000001,1.730,5.532
25.6000000000001,1.851,5.532
25.7000000000001,1.938,5.543
25.8000000000001,1.988,5.565
25.9000000000001,1.999,5.597
26.0000000000001,1.970,5.637
26.1000000000001,1.902,5.685
26.2000000000001,1.798,5.739
26.3000000000001,1.662,5.795
26.4000000000001,1.500,5.853
26.5000000000001,1.318,5.909
26.6000000000001,1.124,5.961
26.7000000000001,0.924,6.008
26.8000000000001,0.727,6.047
26.9000000000001,0.542,6.077
27.0000000000001,0.374,6.097
27.1000000000001,0.232,6.105
27.2000000000001,0.120,6.102
27.3000000000001,0.043,6.088
27.4000000000001,0.004,6.063
27.5000000000001,0.006,6.028
27.6000000000001,0.046,5.985
27.7000000000001,0.125,5.935
27.8000000000001,0.239,5.881
27.9000000000001,0.383,5.824
28.0000000000001,0.551,5.767
28.1000000000001,0.738,5.712
28.2000000000001,0.935,5.661
28.3000000000001,1.134,5.616
28.4000000000001,1.328,5.579
28.5000000000001,1.509,5.552
28.6000000000001,1.670,5.536
28.7000000000001,1.804,5.531
28.8000000000001,1.906,5.537
28.9000000000001,1.972,5.554
29.0000000000001,1.999,5.582
29.1000000000001,1.987,5.619
29.2000000000001,1.935,5.665
29.3000000000001,1.845,5.716
29.4000000000001,1.722,5.772
29.5000000000001,1.570,5.829
29.6000000000002,1.396,5.886
29.7000000000002,1.206,5.940
29.8000000000002,1.007,5.989
29.9000000000002,0.808,6.032
30.0000000000002,0.617,6.066
30.1000000000002,0.441,6.090
30.2000000000002,0.288,6.103
30.3000000000002,0.162,6.105
30.4000000000002,0.071,6.095
30.5000000000002,0.016,6.075
30.6000000000002,0.000,6.044
30.7000000000002,0.025,6.004
30.8000000000002,0.088,5.957
30.9000000000002,0.187,5.904
31.0000000000002,0.319,5.848
31.1000000000002,0.478,5.790
