Time(s),Input,Output_Displacement
16.6,1.873,6.365
16.7,1.803,6.379
16.8,1.718,6.393
16.9,1.622,6.405
17,1.516,6.417
17.1,1.400,6.425
17.2,1.278,6.430
17.3,1.151,6.430
17.4,1.022,6.426
17.5,0.892,6.416
17.6,0.764,6.400
17.7,0.640,6.377
17.8,0.522,6.348
17.9,0.412,6.312
18,0.312,6.270
18.1,0.224,6.222
18.2,0.149,6.168
18.3,0.088,6.108
18.4,0.042,6.045
18.5,0.013,5.977
18.6,0.001,5.907
18.7,0.005,5.835
18.8,0.026,5.762
18.9,0.063,5.689
19,0.117,5.618
19.1,0.185,5.549
19.2,0.267,5.484
19.3,0.361,5.424
19.4,0.466,5.369
19.5,0.580,5.321
19.6,0.701,5.280
19.7,0.828,5.247
19.8,0.957,5.223
19.9,1.087,5.209
20,1.215,5.203
20.1,1.340,5.207
20.2,1.459,5.221
20.3,1.570,5.244
20.4,1.672,5.276
20.5,1.762,5.317
20.6,1.840,5.365
20.7,1.903,5.421
20.8,1.951,5.483
20.9,1.983,5.550
21,1.999,5.621
21.1,1.997,5.696
21.2,1.979,5.772
21.3,1.944,5.849
21.4,1.893,5.925
21.5,1.828,5.999
21.6,1.748,6.070
21.7,1.655,6.137
21.8,1.552,6.198
21.9,1.439,6.253
22,1.319,6.301
22.1,1.194,6.340
22.2,1.065,6.371
22.3,0.935,6.392
22.4,0.806,6.404
22.5,0.680,6.406
22.6000000000001,0.560,6.398
22.7000000000001,0.448,6.380
22.8000000000001,0.344,6.353
22.9000000000001,0.252,6.317
23.0000000000001,0.172,6.273
23.1000000000001,0.106,6.221
23.2000000000001,0.056,6.162
23.3000000000001,0.021,6.098
23.4000000000001,0.003,6.028
23.5000000000001,0.001,5.956
23.6000000000001,0.017,5.881
23.7000000000001,0.049,5.805
23.8000000000001,0.097,5.730
23.9000000000001,0.160,5.656
24.0000000000001,0.238,5.584
24.1000000000001,0.328,5.517
24.2000000000001,0.430,5.455
24.3000000000001,0.541,5.399
24.4000000000001,0.661,5.350
24.5000000000001,0.785,5.309
24.6000000000001,0.914,5.277
24.7000000000001,1.044,5.254
24.8000000000001,1.173,5.240
24.9000000000001,1.299,5.236
25.0000000000001,1.420,5.242
25.1000000000001,1.534,5.258
25.2000000000001,1.639,5.283
25.3000000000001,1.734,5.317
25.4000000000001,1.816,5.359
25.5000000000001,1.884,5.410
25.6000000000001,1.937,5.467
25.7000000000001,1.974,5.530
25.8000000000001,1.995,5.598
25.9000000000001,1.999,5.670
26.0000000000001,1.987,5.744
26.1000000000001,1.957,5.820
26.2000000000001,1.912,5.895
26.3000000000001,1.851,5.969
26.4000000000001,1.776,6.041
26.5000000000001,1.687,6.108
26.6000000000001,1.587,6.171
26.7000000000001,1.478,6.228
26.8000000000001,1.360,6.278
26.9000000000001,1.236,6.320
27.0000000000001,1.108,6.354
27.1000000000001,0.978,6.379
27.2000000000001,0.849,6.394
27.3000000000001,0.722,6.399
27.4000000000001,0.600,6.395
27.5000000000001,0.484,6.381
27.6000000000001,0.377,6.357
27.7000000000001,0.281,6.325
27.8000000000001,0.197,6.284
27.9000000000001,0.127,6.234
28.0000000000001,0.071,6.178
28.1000000000001,0.031,6.116
28.2000000000001,0.007,6.049
28.3000000000001,0.000,5.978
28.4000000000001,0.010,5.904
28.5000000000001,0.037,5.829
28.6000000000001,0.079,5.753
28.7000000000001,0.138,5.679
28.8000000000001,0.211,5.607
28.9000000000001,0.297,5.538
29.0000000000001,0.395,5.474
29.1000000000001,0.504,5.417
29.2000000000001,0.620,5.365
29.3000000000001,0.743,5.322
29.4000000000001,0.871,5.287
29.5000000000001,1.000,5.261
29.6000000000002,1.130,5.244
29.7000000000002,1.258,5.237
29.8000000000002,1.381,5.239
29.9000000000002,1.497,5.252
