Time(s),Input,Output_Displacement
9.69999999999998,0.515,6.265
9.79999999999998,0.447,6.209
9.89999999999998,0.382,6.151
9.99999999999998,0.321,6.091
10.1,0.264,6.030
10.2,0.213,5.967
10.3,0.166,5.902
10.4,0.124,5.838
10.5,0.089,5.773
10.6,0.059,5.709
10.7,0.035,5.645
10.8,0.017,5.582
10.9,0.005,5.521
11,0.000,5.462
11.1,0.002,5.405
11.2,0.009,5.350
11.3,0.023,5.299
11.4,0.043,5.251
11.5,0.070,5.207
11.6,0.102,5.166
11.7,0.140,5.130
11.8,0.184,5.098
11.9,0.232,5.071
12,0.286,5.048
12.1,0.344,5.031
12.2,0.407,5.018
12.3,0.473,5.011
12.4,0.543,5.008
12.5,0.615,5.011
12.6,0.690,5.019
12.7,0.767,5.032
12.8,0.846,5.051
12.9,0.925,5.074
13,1.005,5.102
13.1,1.085,5.134
13.2,1.164,5.171
13.3,1.243,5.212
13.4,1.319,5.257
13.5,1.394,5.305
13.6,1.466,5.357
13.7,1.535,5.411
13.8,1.601,5.469
13.9,1.663,5.528
14,1.721,5.589
14.1,1.774,5.652
14.2,1.822,5.716
14.3,1.865,5.781
14.4,1.902,5.845
14.5,1.934,5.910
14.6,1.959,5.974
14.7,1.979,6.037
14.8,1.992,6.099
14.9,1.999,6.158
15,1.999,6.216
15.1,1.993,6.271
15.2,1.981,6.323
15.3,1.963,6.372
15.4,1.938,6.418
15.5,1.907,6.459
15.6,1.871,6.497
15.7,1.829,6.530
15.8,1.781,6.558
15.9,1.729,6.582
16,1.672,6.601
16.1,1.610,6.615
16.2,1.545,6.624
16.3,1.476,6.628
16.4,1.405,6.626
16.5,1.330,6.619
16.6,1.254,6.608
16.7,1.176,6.591
16.8,1.096,6.569
16.9,1.017,6.542
17,0.937,6.511
17.1,0.857,6.476
17.2,0.778,6.436
17.3,0.701,6.392
17.4,0.626,6.344
17.5,0.553,6.294
17.6,0.483,6.240
17.7,0.416,6.183
17.8,0.353,6.124
17.9,0.294,6.063
18,0.240,6.001
18.1,0.190,5.937
18.2,0.146,5.873
18.3,0.107,5.808
18.4,0.074,5.743
18.5,0.047,5.679
18.6,0.026,5.616
18.7,0.011,5.554
18.8,0.002,5.494
18.9,0.000,5.435
19,0.004,5.379
19.1,0.015,5.326
19.2,0.032,5.277
19.3,0.055,5.230
19.4,0.084,5.188
19.5,0.119,5.149
19.6,0.159,5.115
19.7,0.205,5.085
19.8,0.257,5.060
19.9,0.312,5.039
20,0.373,5.024
20.1,0.437,5.014
20.2,0.505,5.009
20.3,0.576,5.009
20.4,0.649,5.014
20.5,0.725,5.025
20.6,0.803,5.040
20.7,0.882,5.061
20.8,0.962,5.086
20.9,1.042,5.116
21,1.121,5.150
21.1,1.200,5.189
21.2,1.278,5.232
21.3,1.354,5.278
21.4,1.428,5.328
21.5,1.498,5.382
21.6,1.566,5.437
21.7,1.630,5.496
21.8,1.690,5.556
21.9,1.746,5.618
22,1.797,5.682
22.1,1.842,5.746
22.2,1.883,5.810
22.3,1.918,5.875
22.4,1.946,5.940
22.5,1.969,6.003
22.6000000000001,1.986,6.066
22.7000000000001,1.996,6.126
22.8000000000001,2.000,6.185
22.9000000000001,1.997,6.242
23.0000000000001,1.989,6.296
23.1000000000001,1.973,6.346
23.2000000000001,1.952,6.394
23.3000000000001,1.925,6.437
23.4000000000001,1.891,6.477
23.5000000000001,1.852,6.512
23.6000000000001,1.807,6.544
23.7000000000001,1.758,6.570
23.8000000000001,1.703,6.592
23.9000000000001,1.644,6.608
24.0000000000001,1.581,6.620
24.1000000000001,1.514,6.626
24.2000000000001,1.444,6.628
