Time(s),Input,Output_Displacement
12.5,0.044,5.670
12.6,0.023,5.607
12.7,0.009,5.545
12.8,0.002,5.485
12.9,0.000,5.427
13,0.005,5.372
13.1,0.017,5.319
13.2,0.035,5.270
13.3,0.059,5.224
13.4,0.089,5.182
13.5,0.124,5.144
13.6,0.166,5.110
13.7,1.000,5.081
13.8,1.100,5.057
13.9,1.199,5.045
14,1.296,5.046
14.1,1.389,5.060
14.2,1.479,5.084
14.3,1.565,5.118
14.4,1.644,5.162
14.5,1.717,5.214
14.6,1.783,5.273
14.7,1.841,5.339
14.8,1.891,5.410
14.9,1.932,5.485
15,1.964,5.564
15.1,1.985,5.645
15.2,1.997,5.727
15.3,2.000,5.809
15.4,1.992,5.891
15.5,1.974,5.971
15.6,1.946,6.048
15.7,1.909,6.122
15.8,1.863,6.192
15.9,1.808,6.257
16,1.746,6.317
16.1,1.675,6.370
16.2,1.598,6.417
16.3,1.516,6.457
16.4,1.427,6.489
16.5,1.335,6.514
16.6,1.239,6.530
16.7,1.141,6.539
16.8,1.042,6.540
16.9,0.942,6.533
17,0.842,6.519
17.1,0.744,6.496
17.2,0.649,6.467
17.3,0.557,6.430
17.4,0.470,6.387
17.5,0.388,6.338
17.6,0.312,6.283
17.7,0.243,6.224
17.8,0.182,6.160
17.9,0.128,6.092
18,0.084,6.022
18.1,0.048,5.950
18.2,0.022,5.876
18.3,0.006,5.802
18.4,0.000,5.728
18.5,0.004,5.655
18.6,0.018,5.583
18.7,0.041,5.514
18.8,0.074,5.448
18.9,0.117,5.386
19,0.168,5.328
19.1,0.227,5.275
19.2,0.294,5.227
19.3,0.369,5.186
19.4,0.449,5.151
19.5,0.535,5.123
19.6,0.626,5.102
19.7,0.721,5.088
19.8,0.818,5.081
19.9,0.917,5.082
20,1.017,5.090
20.1,1.117,5.106
20.2,1.215,5.128
20.3,1.312,5.158
20.4,1.405,5.195
20.5,1.494,5.237
20.6,1.578,5.286
20.7,1.657,5.340
20.8,1.729,5.398
20.9,1.794,5.461
21,1.850,5.528
21.1,1.899,5.597
21.2,1.938,5.669
21.3,1.968,5.742
21.4,1.988,5.816
21.5,1.999,5.890
21.6,1.999,5.963
21.7,1.989,6.035
21.8,1.970,6.104
21.9,1.941,6.171
22,1.902,6.234
22.1,1.855,6.293
22.2,1.798,6.348
22.3,1.734,6.397
22.4,1.663,6.440
22.5,1.585,6.477
22.6000000000001,1.501,6.507
22.7000000000001,1.412,6.531
22.8000000000001,1.319,6.547
22.9000000000001,1.223,6.556
23.0000000000001,1.124,6.558
23.1000000000001,1.025,6.552
23.2000000000001,0.925,6.539
23.3000000000001,0.826,6.519
23.4000000000001,0.728,6.492
23.5000000000001,0.634,6.458
23.6000000000001,0.542,6.417
23.7000000000001,0.456,6.371
23.8000000000001,0.375,6.319
23.9000000000001,0.300,6.262
24.0000000000001,0.232,6.201
24.1000000000001,0.172,6.136
24.2000000000001,0.120,6.067
24.3000000000001,0.077,5.996
24.4000000000001,0.043,5.924
24.5000000000001,0.019,5.850
24.6000000000001,0.005,5.776
24.7000000000001,0.000,5.702
24.8000000000001,0.005,5.630
24.9000000000001,0.021,5.559
25.0000000000001,0.046,5.491
25.1000000000001,0.081,5.427
25.2000000000001,0.125,5.366
25.3000000000001,0.177,5.310
25.4000000000001,0.238,5.258
25.5000000000001,0.306,5.213
25.6000000000001,0.382,5.173
25.7000000000001,0.463,5.140
25.8000000000001,0.550,5.114
25.9000000000001,0.642,5.094
26.0000000000001,0.737,5.082
26.1000000000001,0.834,5.077
26.2000000000001,0.934,5.080
26.3000000000001,1.034,5.090
26.4000000000001,1.133,5.107
26.5000000000001,1.232,5.132
26.6000000000001,1.327,5.163
26.7000000000001,1.420,5.201
26.8000000000001,1.509,5.245
26.9000000000001,1.592,5.295
27.0000000000001,1.670,5.350
27.1000000000001,1.740,5.409
27.2000000000001,1.804,5.473
27.3000000000001,1.859,5.540
27.4000000000001,1.906,5.610
27.5000000000001,1.944,5.682
27.6000000000001,1.972,5.755
27.7000000000001,1.991,5.829
27.8000000000001,1.999,5.903
27.9000000000001,1.998,5.976
28.0000000000001,1.987,6.048
28.1000000000001,1.966,6.117
28.2000000000001,1.935,6.183
28.3000000000001,1.895,6.245
28.4000000000001,1.846,6.304
28.5000000000001,1.788,6.357
28.6000000000001,1.723,6.405
28.7000000000001,1.650,6.447
28.8000000000001,1.571,6.483
28.9000000000001,1.486,6.512
29.0000000000001,1.397,6.535
29.1000000000001,1.303,6.550
29.2000000000001,1.206,6.558
29.3000000000001,1.108,6.558
29.4000000000001,1.008,6.551
29.5000000000001,0.908,6.537
29.6000000000002,0.809,6.515
29.7000000000002,0.712,6.487
29.8000000000002,0.618,6.452
29.9000000000002,0.528,6.410
30.0000000000002,0.442,6.363
30.1000000000002,0.362,6.310
30.2000000000002,0.288,6.252
30.3000000000002,0.222,6.190
30.4000000000002,0.163,6.124
30.5000000000002,0.112,6.055
30.6000000000002,0.071,5.984
30.7000000000002,0.039,5.911
30.8000000000002,0.016,5.838
30.9000000000002,0.003,5.763
31.0000000000002,0.000,5.690
31.1000000000002,0.007,5.618
31.2000000000002,0.024,5.548
31.3000000000002,0.051,5.480
31.4000000000002,0.087,5.416
31.5000000000002,0.133,5.356
31.6000000000002,0.187,5.300
31.7000000000002,0.249,5.250
31.8000000000002,0.319,5.205
31.9000000000002,0.395,5.167
32.0000000000002,0.478,5.135
32.1000000000002,0.565,5.110
32.2000000000002,0.658,5.092
32.3000000000002,0.753,5.081
32.4000000000002,0.851,5.077
32.5000000000002,0.950,5.081
32.6000000000002,1.050,5.093
32.7000000000002,1.150,5.111
32.8000000000002,1.248,5.137
32.9000000000002,1.343,5.169
33.0000000000002,1.435,5.208
33.1000000000002,1.523,5.253
33.2000000000002,1.606,5.303
33.3000000000002,1.682,5.359
33.4000000000002,1.752,5.420
33.5000000000002,1.814,5.484
33.6000000000002,1.868,5.552
33.7000000000002,1.913,5.622
33.8000000000002,1.949,5.694
33.9000000000002,1.976,5.768
34.0000000000002,1.993,5.842
34.1000000000002,2.000,5.916
34.2000000000002,1.997,5.988
34.3000000000002,1.984,6.059
34.4000000000002,1.961,6.128
34.5000000000002,1.929,6.194
34.6000000000002,1.887,6.256
34.7000000000002,1.837,6.313
34.8000000000002,1.778,6.366
34.9000000000002,1.711,6.413
35.0000000000002,1.637,6.454
35.1000000000002,1.557,6.489
35.2000000000002,1.472,6.517
35.3000000000002,1.381,6.538
35.4000000000002,1.287,6.552
35.5000000000002,1.190,6.558
35.6000000000002,1.091,6.557
35.7000000000002,0.991,6.549
35.8000000000002,0.891,6.534
35.9000000000002,0.793,6.511
36.0000000000002,0.696,6.481
36.1000000000002,0.602,6.445
36.2000000000002,0.513,6.403
36.3000000000002,0.428,6.354
36.4000000000002,0.349,6.301
36.5000000000002,0.277,6.242
36.6000000000003,0.211,6.179
36.7000000000003,0.154,6.113
36.8000000000003,0.105,6.044
36.9000000000003,0.065,5.972
37.0000000000003,0.034,5.899
37.1000000000003,0.013,5.825
37.2000000000003,0.002,5.751
37.3000000000003,0.001,5.678
37.4000000000003,0.010,5.606
37.5000000000003,0.028,5.536
37.6000000000003,0.057,5.469
37.7000000000003,0.094,5.406
37.8000000000003,0.141,5.346
37.9000000000003,0.197,5.292
38.0000000000003,0.260,5.242
38.1000000000003,0.331,5.199
38.2000000000003,0.409,5.161
38.3000000000003,0.492,5.130
38.4000000000003,0.581,5.106
38.5000000000003,0.673,5.089
38.6000000000003,0.769,5.080
38.7000000000003,0.868,5.077
38.8000000000003,0.967,5.083
38.9000000000003,1.067,5.095
39.0000000000003,1.166,5.115
39.1000000000003,1.264,5.142
39.2000000000003,1.359,5.175
39.3000000000003,1.450,5.215
39.4000000000003,1.537,5.261
39.5000000000003,1.619,5.313
39.6000000000003,1.694,5.369
39.7000000000003,1.763,5.430
39.8000000000003,1.823,5.495
39.9000000000003,1.876,5.563
40.0000000000003,1.920,5.634
40.1000000000003,1.954,5.707
40.2000000000003,1.979,5.780
40.3000000000003,1.995,5.854
40.4000000000003,2.000,5.928
40.5000000000003,1.995,6.000
40.6000000000003,1.981,6.071
40.7000000000003,1.956,6.139
40.8000000000003,1.922,6.204
40.9000000000003,1.879,6.266
41.0000000000003,1.827,6.322
41.1000000000003,1.767,6.374
41.2000000000003,1.699,6.420
41.3000000000003,1.624,6.460
41.4000000000003,1.543,6.494
41.5000000000003,1.457,6.521
41.6000000000003,1.366,6.541
41.7000000000003,1.271,6.553
41.8000000000003,1.173,6.558
41.9000000000003,1.074,6.556
42.0000000000003,0.974,6.547
42.1000000000003,0.875,6.530
42.2000000000003,0.776,6.506
42.3000000000003,0.680,6.476
42.4000000000003,0.587,6.438
42.5000000000003,0.498,6.395
42.6000000000003,0.414,6.346
42.7000000000003,0.336,6.291
42.8000000000003,0.265,6.232
42.9000000000003,0.201,6.168
43.0000000000003,0.145,6.101
43.1000000000003,0.097,6.032
43.2000000000003,0.059,5.960
43.3000000000003,0.030,5.887
43.4000000000003,0.011,5.813
43.5000000000003,0.001,5.739
43.6000000000003,0.002,5.666
43.7000000000004,0.012,5.594
43.8000000000004,0.032,5.525
43.9000000000004,0.062,5.458
44.0000000000004,0.102,5.395
44.1000000000004,0.150,5.337
44.2000000000004,0.207,5.283
44.3000000000004,0.272,5.234
44.4000000000004,0.344,5.192
44.5000000000004,0.422,5.155
44.6000000000004,0.507,5.126
44.7000000000004,0.596,5.103
44.8000000000004,0.689,5.087
44.9000000000004,0.786,5.079
45.0000000000004,0.884,5.078
45.1000000000004,0.984,5.084
45.2000000000004,1.084,5.098
45.3000000000004,1.183,5.119
45.4000000000004,1.280,5.147
45.5000000000004,1.375,5.181
45.6000000000004,1.465,5.222
45.7000000000004,1.551,5.269
45.8000000000004,1.632,5.322
45.9000000000004,1.706,5.379
46.0000000000004,1.773,5.441
46.1000000000004,1.833,5.506
46.2000000000004,1.884,5.575
46.3000000000004,1.926,5.646
46.4000000000004,1.959,5.719
46.5000000000004,1.983,5.793
46.6000000000004,1.996,5.867
46.7000000000004,2.000,5.940
46.8000000000004,1.994,6.012
46.9000000000004,1.977,6.083
47.0000000000004,1.951,6.151
47.1000000000004,1.916,6.215
47.2000000000004,1.871,6.275
47.3000000000004,1.818,6.331
47.4000000000004,1.756,6.382
47.5000000000004,1.687,6.427
47.6000000000004,1.611,6.466
47.7000000000004,1.529,6.499
47.8000000000004,1.442,6.524
47.9000000000004,1.350,6.543
48.0000000000004,1.255,6.555
48.1000000000004,1.157,6.559
48.2000000000004,1.057,6.555
48.3000000000004,0.958,6.545
48.4000000000004,0.858,6.527
48.5000000000004,0.760,6.502
48.6000000000004,0.664,6.470
48.7000000000004,0.572,6.431
48.8000000000004,0.484,6.387
48.9000000000004,0.401,6.337
49.0000000000004,0.324,6.281
49.1000000000004,0.254,6.221
49.2000000000004,0.191,6.157
49.3000000000004,0.136,6.090
49.4000000000004,0.090,6.020
49.5000000000004,0.053,5.948
49.6000000000004,0.026,5.874
49.7000000000004,0.008,5.800
49.8000000000004,0.000,5.726
49.9000000000004,0.003,5.653
50.0000000000004,0.015,5.582
50.1000000000004,0.037,5.513
50.2000000000004,0.068,5.447
50.3000000000004,0.109,5.385
50.4000000000004,0.159,5.327
50.5000000000004,0.217,5.274
50.6000000000004,0.283,5.227
50.7000000000005,0.356,5.185
50.8000000000005,0.436,5.150
50.9000000000005,0.521,5.121
51.0000000000005,0.611,5.100
51.1000000000005,0.705,5.085
51.2000000000005,0.802,5.078
51.3000000000005,0.901,5.078
51.4000000000005,1.001,5.086
51.5000000000005,1.101,5.101
51.6000000000005,1.200,5.123
51.7000000000005,1.296,5.152
51.8000000000005,1.390,5.188
51.9000000000005,1.480,5.230
52.0000000000005,1.565,5.278
52.1000000000005,1.645,5.331
52.2000000000005,1.718,5.389
52.3000000000005,1.784,5.452
52.4000000000005,1.842,5.518
52.5000000000005,1.892,5.587
52.6000000000005,1.932,5.658
52.7000000000005,1.964,5.731
52.8000000000005,1.986,5.805
52.9000000000005,1.998,5.879
53.0000000000005,2.000,5.952
53.1000000000005,1.992,6.024
53.2000000000005,1.974,6.094
53.3000000000005,1.946,6.162
53.4000000000005,1.909,6.225
53.5000000000005,1.863,6.285
53.6000000000005,1.808,6.340
53.7000000000005,1.745,6.390
53.8000000000005,1.675,6.434
53.9000000000005,1.598,6.472
54.0000000000005,1.515,6.504
54.1000000000005,1.427,6.528
54.2000000000005,1.334,6.546
54.3000000000005,1.238,6.556
54.4000000000005,1.140,6.559
54.5000000000005,1.041,6.554
54.6000000000005,0.941,6.542
54.7000000000005,0.841,6.523
54.8000000000005,0.744,6.497
54.9000000000005,0.648,6.464
55.0000000000005,0.557,6.424
55.1000000000005,0.469,6.379
55.2000000000005,0.387,6.328
55.3000000000005,0.312,6.272
55.4000000000005,0.243,6.211
55.5000000000005,0.181,6.146
55.6000000000005,0.128,6.078
55.7000000000005,0.083,6.008
55.8000000000005,0.048,5.935
55.9000000000005,0.022,5.862
56.0000000000005,0.006,5.788
56.1000000000005,0.000,5.714
56.2000000000005,0.004,5.641
56.3000000000005,0.018,5.570
56.4000000000005,0.041,5.502
56.5000000000005,0.075,5.437
56.6000000000005,0.117,5.375
56.7000000000005,0.168,5.318
56.8000000000005,0.228,5.266
56.9000000000005,0.295,5.219
57.0000000000005,0.369,5.179
57.1000000000005,0.450,5.145
57.2000000000005,0.536,5.117
57.3000000000005,0.627,5.097
57.4000000000005,0.721,5.084
57.5000000000005,0.819,5.078
57.6000000000005,0.918,5.079
57.7000000000005,1.018,5.088
57.8000000000006,1.117,5.104
57.9000000000006,1.216,5.127
58.0000000000006,1.312,5.158
58.1000000000006,1.406,5.194
58.2000000000006,1.495,5.238
58.3000000000006,1.579,5.286
58.4000000000006,1.658,5.340
58.5000000000006,1.730,5.399
58.6000000000006,1.794,5.462
58.7000000000006,1.851,5.529
58.8000000000006,1.899,5.599
58.9000000000006,1.938,5.670
59.0000000000006,1.968,5.744
59.1000000000006,1.988,5.818
59.2000000000006,1.999,5.891
59.3000000000006,1.999,5.965
59.4000000000006,1.989,6.036
59.5000000000006,1.970,6.106
59.6000000000006,1.940,6.173
59.7000000000006,1.902,6.236
59.8000000000006,1.854,6.295
59.9000000000006,1.798,6.349
60.0000000000006,1.734,6.398
60.1000000000006,1.662,6.441
60.2000000000006,1.584,6.478
60.3000000000006,1.500,6.508
60.4000000000006,1.411,6.532
60.5000000000006,1.318,6.548
60.6000000000006,1.222,6.557
60.7000000000006,1.124,6.558
60.8000000000006,1.024,6.553
60.9000000000006,0.924,6.539
61.0000000000006,0.825,6.519
61.1000000000006,0.727,6.492
61.2000000000006,0.633,6.458
61.3000000000006,0.542,6.417
61.4000000000006,0.455,6.371
61.5000000000006,0.374,6.319
61.6000000000006,0.299,6.262
61.7000000000006,0.232,6.200
61.8000000000006,0.172,6.135
61.9000000000006,0.120,6.067
62.0000000000006,0.077,5.996
62.1000000000006,0.043,5.923
62.2000000000006,0.019,5.849
62.3000000000006,0.004,5.775
62.4000000000006,0.000,5.702
62.5000000000006,0.006,5.629
62.6000000000006,0.021,5.559
62.7000000000006,0.046,5.491
62.8000000000006,0.081,5.426
62.9000000000006,0.125,5.365
63.0000000000006,0.178,5.309
63.1000000000006,0.239,5.258
63.2000000000006,0.307,5.212
63.3000000000006,0.383,5.173
63.4000000000006,0.464,5.140
63.5000000000006,0.551,5.113
63.6000000000006,0.643,5.094
63.7000000000006,0.738,5.082
63.8000000000006,0.835,5.077
63.9000000000006,0.935,5.080
64.0000000000006,1.035,5.090
