Time(s),Input,Output_Displacement
64.1000000000006,1.134,5.108
64.2000000000006,1.232,5.132
64.3000000000006,1.328,5.163
64.4000000000006,1.421,5.201
64.5000000000006,1.509,5.245
64.6000000000006,1.593,5.295
64.7000000000006,1.670,5.350
64.8000000000006,1.741,5.410
64.9000000000006,1.804,5.473
65.0000000000006,1.860,5.541
65.1000000000006,1.906,5.611
65.2000000000006,1.944,5.683
65.3000000000006,1.972,5.756
65.4000000000006,1.991,5.830
65.5000000000006,1.999,5.904
65.6000000000005,1.998,5.977
65.7000000000005,1.987,6.048
65.8000000000005,1.965,6.117
65.9000000000005,1.935,6.184
66.0000000000005,1.894,6.246
66.1000000000005,1.845,6.304
66.2000000000005,1.788,6.358
66.3000000000005,1.722,6.406
66.4000000000005,1.650,6.448
66.5000000000005,1.570,6.483
66.6000000000005,1.486,6.513
66.7000000000005,1.396,6.535
66.8000000000005,1.302,6.550
66.9000000000005,1.206,6.558
67.0000000000005,1.107,6.558
67.1000000000005,1.007,6.551
67.2000000000005,0.907,6.536
67.3000000000005,0.808,6.515
67.4000000000004,0.711,6.486
67.5000000000004,0.617,6.451
67.6000000000004,0.527,6.410
67.7000000000004,0.441,6.362
67.8000000000004,0.361,6.309
67.9000000000004,0.288,6.252
68.0000000000004,0.221,6.190
68.1000000000004,0.162,6.124
68.2000000000004,0.112,6.055
68.3000000000004,0.071,5.984
68.4000000000004,0.038,5.911
68.5000000000004,0.016,5.837
68.6000000000004,0.003,5.763
68.7000000000004,0.000,5.689
68.8000000000004,0.007,5.617
68.9000000000004,0.025,5.547
69.0000000000004,0.051,5.480
69.1000000000003,0.088,5.415
69.2000000000003,0.133,5.355
69.3000000000003,0.187,5.300
69.4000000000003,0.250,5.250
69.5000000000003,0.319,5.205
69.6000000000003,0.396,5.167
69.7000000000003,0.478,5.135
69.8000000000003,0.566,5.110
69.9000000000003,0.658,5.092
70.0000000000003,0.754,5.081
70.1000000000003,0.852,5.077
70.2000000000003,0.951,5.081
70.3000000000003,1.051,5.093
70.4000000000003,1.151,5.111
70.5000000000003,1.249,5.137
70.6000000000003,1.344,5.169
70.7000000000003,1.436,5.208
70.8000000000003,1.524,5.253
70.9000000000002,1.606,5.304
71.0000000000002,1.683,5.360
71.1000000000002,1.752,5.420
71.2000000000002,1.814,5.485
71.3000000000002,1.868,5.552
71.4000000000002,1.913,5.623
71.5000000000002,1.949,5.695
71.6000000000002,1.976,5.768
71.7000000000002,1.993,5.842
71.8000000000002,2.000,5.916
71.9000000000002,1.997,5.989
72.0000000000002,1.984,6.060
72.1000000000002,1.961,6.129
72.2000000000002,1.928,6.194
72.3000000000002,1.887,6.256
72.4000000000002,1.836,6.314
72.5000000000002,1.777,6.366
72.6000000000002,1.711,6.413
72.7000000000001,1.637,6.454
72.8000000000001,1.557,6.489
72.9000000000001,1.471,6.517
73.0000000000001,1.380,6.538
73.1000000000001,1.286,6.552
73.2000000000001,1.189,6.558
73.3000000000001,1.090,6.557
73.4000000000001,0.990,6.549
73.5000000000001,0.890,6.533
73.6000000000001,0.792,6.511
73.7000000000001,0.695,6.481
73.8000000000001,0.602,6.445
73.9000000000001,0.512,6.402
74.0000000000001,0.427,6.354
74.1000000000001,0.348,6.300
74.2000000000001,0.276,6.241
74.3000000000001,0.211,6.179
74.4,0.153,6.112
74.5,0.104,6.043
74.6,0.064,5.971
74.7,0.034,5.898
74.8,0.013,5.824
74.9,0.002,5.750
75,0.001,5.677
75.1,0.010,5.605
75.2,0.028,5.535
75.3,0.057,5.469
75.4,0.095,5.405
75.5,0.142,5.346
75.6,0.197,5.291
75.7,0.261,5.242
75.8,0.332,5.198
75.9,0.409,5.161
76,0.493,5.130
76.1,0.581,5.106
76.1999999999999,0.674,5.089
76.2999999999999,0.770,5.080
76.3999999999999,0.869,5.077
76.4999999999999,0.968,5.083
76.5999999999999,1.068,5.095
76.6999999999999,1.167,5.115
76.7999999999999,1.265,5.142
76.8999999999999,1.360,5.175
76.9999999999999,1.451,5.215
77.0999999999999,1.538,5.261
77.1999999999999,1.620,5.313
77.2999999999999,1.695,5.370
77.3999999999999,1.763,5.431
77.4999999999999,1.824,5.496
77.5999999999999,1.876,5.564
77.6999999999999,1.920,5.635
77.7999999999999,1.955,5.707
77.8999999999998,1.980,5.781
77.9999999999998,1.995,5.855
78.0999999999998,2.000,5.929
78.1999999999998,1.995,6.001
78.2999999999998,1.981,6.072
78.3999999999998,1.956,6.140
78.4999999999998,1.922,6.205
78.5999999999998,1.879,6.266
78.6999999999998,1.827,6.323
78.7999999999998,1.767,6.374
78.8999999999998,1.699,6.420
78.9999999999998,1.624,6.460
79.0999999999998,1.543,6.494
79.1999999999998,1.456,6.521
79.2999999999998,1.365,6.541
79.3999999999998,1.270,6.553
79.4999999999998,1.173,6.559
79.5999999999998,1.073,6.556
79.6999999999997,0.973,6.547
79.7999999999997,0.874,6.530
79.8999999999997,0.775,6.506
79.9999999999997,0.679,6.475
80.0999999999997,0.586,6.438
80.1999999999997,0.497,6.394
80.2999999999997,0.414,6.345
80.3999999999997,0.336,6.291
80.4999999999997,0.264,6.231
80.5999999999997,0.200,6.168
80.6999999999997,0.144,6.101
80.7999999999997,0.097,6.031
80.8999999999997,0.059,5.959
80.9999999999997,0.030,5.886
81.0999999999997,0.010,5.812
81.1999999999997,0.001,5.738
81.2999999999997,0.002,5.665
81.3999999999997,0.012,5.593
81.4999999999996,0.033,5.524
81.5999999999996,0.063,5.458
81.6999999999996,0.102,5.395
81.7999999999996,0.150,5.336
81.8999999999996,0.207,5.282
81.9999999999996,0.272,5.234
82.0999999999996,0.344,5.191
82.1999999999996,0.423,5.155
82.2999999999996,0.507,5.125
82.3999999999996,0.597,5.103
82.4999999999996,0.690,5.087
82.5999999999996,0.787,5.079
82.6999999999996,0.885,5.078
82.7999999999996,0.985,5.084
82.8999999999996,1.085,5.098
82.9999999999996,1.184,5.119
83.0999999999996,1.281,5.147
83.1999999999995,1.376,5.182
83.2999999999995,1.466,5.223
