Time(s),Input,Output_Displacement
34.3000000000002,0.723,5.825
34.4000000000002,1.019,5.787
34.5000000000002,1.314,5.751
34.6000000000002,1.581,5.721
34.7000000000002,1.795,5.700
34.8000000000002,1.939,5.690
34.9000000000002,1.999,5.691
35.0000000000002,1.969,5.703
35.1000000000002,1.853,5.725
35.2000000000002,1.661,5.756
35.3000000000002,1.410,5.793
35.4000000000002,1.122,5.831
35.5000000000002,0.823,5.869
35.6000000000002,0.540,5.902
35.7000000000002,0.298,5.927
35.8000000000002,0.119,5.943
35.9000000000002,0.019,5.947
36.0000000000002,0.006,5.940
36.1000000000002,0.082,5.922
36.2000000000002,0.240,5.895
36.3000000000002,0.466,5.861
36.4000000000002,0.739,5.823
36.5000000000002,1.036,5.785
36.6000000000003,1.330,5.749
36.7000000000003,1.594,5.720
36.8000000000003,1.805,5.699
36.9000000000003,1.945,5.689
37.0000000000003,1.999,5.691
37.1000000000003,1.965,5.704
37.2000000000003,1.844,5.727
37.3000000000003,1.648,5.758
37.4000000000003,1.394,5.795
37.5000000000003,1.105,5.833
37.6000000000003,0.807,5.871
37.7000000000003,0.525,5.903
37.8000000000003,0.286,5.928
37.9000000000003,0.111,5.943
38.0000000000003,0.015,5.947
38.1000000000003,0.008,5.940
38.2000000000003,0.089,5.921
38.3000000000003,0.251,5.893
38.4000000000003,0.480,5.859
38.5000000000003,0.756,5.821
38.6000000000003,1.053,5.783
38.7000000000003,1.346,5.747
38.8000000000003,1.608,5.719
38.9000000000003,1.815,5.699
39.0000000000003,1.950,5.689
39.1000000000003,2.000,5.691
39.2000000000003,1.960,5.705
39.3000000000003,1.835,5.728
39.4000000000003,1.635,5.760
39.5000000000003,1.379,5.797
39.6000000000003,1.088,5.836
39.7000000000003,0.790,5.873
39.8000000000003,0.511,5.905
39.9000000000003,0.275,5.929
40.0000000000003,0.104,5.944
40.1000000000003,0.013,5.947
40.2000000000003,0.010,5.939
40.3000000000003,0.096,5.920
40.4000000000003,0.262,5.892
40.5000000000003,0.494,5.857
40.6000000000003,0.772,5.819
40.7000000000003,1.070,5.780
40.8000000000003,1.362,5.746
40.9000000000003,1.621,5.717
41.0000000000003,1.825,5.698
41.1000000000003,1.955,5.689
41.2000000000003,2.000,5.692
41.3000000000003,1.956,5.706
41.4000000000003,1.826,5.730
41.5000000000003,1.622,5.762
41.6000000000003,1.363,5.799
41.7000000000003,1.072,5.838
41.8000000000003,0.774,5.875
41.9000000000003,0.496,5.906
42.0000000000003,0.263,5.930
42.1000000000003,0.096,5.944
42.2000000000003,0.010,5.947
42.3000000000003,0.012,5.938
42.4000000000003,0.103,5.918
42.5000000000003,0.273,5.890
42.6000000000003,0.509,5.855
42.7000000000003,0.788,5.817
42.8000000000003,1.087,5.778
42.9000000000003,1.377,5.744
43.0000000000003,1.634,5.716
43.1000000000003,1.834,5.697
43.2000000000003,1.960,5.689
43.3000000000003,2.000,5.692
43.4000000000003,1.951,5.707
43.5000000000003,1.816,5.732
43.6000000000003,1.609,5.764
43.7000000000004,1.347,5.801
43.8000000000004,1.055,5.840
43.9000000000004,0.757,5.877
44.0000000000004,0.481,5.908
44.1000000000004,0.252,5.931
44.2000000000004,0.089,5.945
44.3000000000004,0.008,5.947
44.4000000000004,0.015,5.937
44.5000000000004,0.110,5.917
44.6000000000004,0.285,5.888
44.7000000000004,0.524,5.853
44.8000000000004,0.805,5.814
44.9000000000004,1.103,5.776
45.0000000000004,1.393,5.742
45.1000000000004,1.647,5.714
45.2000000000004,1.843,5.696
45.3000000000004,1.965,5.689
45.4000000000004,1.999,5.693
45.5000000000004,1.945,5.708
45.6000000000004,1.806,5.733
45.7000000000004,1.596,5.766
45.8000000000004,1.332,5.803
45.9000000000004,1.038,5.842
46.0000000000004,0.741,5.878
46.1000000000004,0.467,5.910
46.2000000000004,0.241,5.932
46.3000000000004,0.082,5.945
46.4000000000004,0.006,5.946
46.5000000000004,0.018,5.936
46.6000000000004,0.118,5.916
46.7000000000004,0.297,5.886
46.8000000000004,0.539,5.851
46.9000000000004,0.821,5.812
47.0000000000004,1.120,5.774
47.1000000000004,1.408,5.740
47.2000000000004,1.660,5.713
47.3000000000004,1.852,5.695
47.4000000000004,1.969,5.689
47.5000000000004,1.999,5.693
47.6000000000004,1.940,5.709
47.7000000000004,1.796,5.735
47.8000000000004,1.582,5.768
47.9000000000004,1.316,5.805
48.0000000000004,1.021,5.844
48.1000000000004,0.725,5.880
48.2000000000004,0.453,5.911
48.3000000000004,0.230,5.933
48.4000000000004,0.076,5.946
48.5000000000004,0.004,5.946
48.6000000000004,0.022,5.935
48.7000000000004,0.126,5.914
48.8000000000004,0.309,5.884
